ESCUELA,EDAD,SEXO,EST_CIVIL,HIJOS,TRABAJA_ESTUDIA,VIVE_SOLO,NIVEL_SOCIO_ECON,SEMESTRE,PPACumulado,PPAnterior
ADMINISTRACIÓN,25,0,0,0,1,0,0,8,15.354,16.714
ADMINISTRACIÓN,21,0,0,0,1,1,1,7,15.144,16.955
ADMINISTRACIÓN,33,0,0,0,1,0,0,8,16.327,16.476
ADMINISTRACIÓN,22,0,0,0,1,0,1,10,13.989,13
ADMINISTRACIÓN,21,1,0,0,1,1,2,9,14.955,14.762
ADMINISTRACIÓN,24,0,0,0,1,1,0,10,13.74,14.333
ADMINISTRACIÓN,28,0,0,0,1,0,2,6,12.18,14.81
ADMINISTRACIÓN,19,1,0,0,0,0,1,3,14.526,14.8
ADMINISTRACIÓN,33,0,0,1,1,0,1,7,16.308,16.421
ADMINISTRACIÓN,30,1,0,1,1,0,0,7,14.672,15.091
ADMINISTRACIÓN,21,0,0,0,0,0,1,1,15.443,15.667
ADMINISTRACIÓN,17,0,0,0,1,0,2,1,15.325,16.19
ADMINISTRACIÓN,21,1,0,0,1,0,1,9,14.882,15.176
ADMINISTRACIÓN,20,1,0,0,1,1,1,6,15.008,14.929
ADMINISTRACIÓN,22,1,0,0,1,0,2,7,16.333,17.286
ADMINISTRACIÓN,22,0,0,0,1,0,0,2,14.272,14.762
ADMINISTRACIÓN,21,0,0,0,0,0,1,8,12.257,6.615
ADMINISTRACIÓN,21,1,0,0,1,0,0,5,14.929,15.333
ADMINISTRACIÓN,25,1,0,0,1,0,0,5,16.396,16.091
ADMINISTRACIÓN,22,0,0,0,1,1,1,9,14.227,14.227
ADMINISTRACIÓN,20,0,0,0,1,0,1,7,15.108,15.2
ADMINISTRACIÓN,22,1,0,0,1,1,2,10,14.817,15.238
ADMINISTRACIÓN,24,0,0,0,0,1,0,9,12.349,13.8
ADMINISTRACIÓN,22,0,0,0,1,1,1,10,14.263,11.529
ADMINISTRACIÓN,18,0,0,0,1,0,2,1,14.593,14.429
ADMINISTRACIÓN,26,0,0,0,1,1,2,11,15.318,15.714
ADMINISTRACIÓN,22,1,0,0,1,0,2,6,16.04,17.091
ADMINISTRACIÓN,24,1,0,0,1,1,2,10,17.303,17.318
ADMINISTRACIÓN,21,0,0,0,0,0,0,7,14.762,15.143
ADMINISTRACIÓN,28,1,2,1,1,1,2,10,13.103,12.471
ADMINISTRACIÓN,25,0,0,0,0,1,0,7,13.652,15.6
ADMINISTRACIÓN,20,0,0,0,0,0,2,6,16.674,18.182
ADMINISTRACIÓN,20,1,0,0,1,0,2,7,13.586,15.5
ADMINISTRACIÓN,23,1,2,1,1,0,1,4,15.494,15.227
ADMINISTRACIÓN,21,1,2,1,1,0,1,5,15.278,16.158
ADMINISTRACIÓN,19,1,0,0,0,0,1,5,15.656,15.5
ADMINISTRACIÓN,23,1,0,0,1,0,1,8,16.422,17.318
ADMINISTRACIÓN,22,1,0,0,0,1,2,10,14.473,14.692
ADMINISTRACIÓN,24,1,0,0,0,0,2,10,13.664,8.167
ADMINISTRACIÓN,22,1,0,0,1,0,1,3,14.899,15.5
ADMINISTRACIÓN,22,1,0,0,0,0,1,9,14.981,15.5
ADMINISTRACIÓN,19,0,0,0,0,0,0,6,13.989,14.182
ADMINISTRACIÓN,22,1,0,0,0,0,2,8,13.771,11.909
ADMINISTRACIÓN,36,0,0,0,1,1,0,7,15.239,14.714
ADMINISTRACIÓN,22,1,0,0,1,1,1,7,10.568,15.727
ADMINISTRACIÓN,19,1,0,0,1,0,1,5,14.868,14.818
ADMINISTRACIÓN,20,0,0,0,0,0,1,5,13.914,14.4
ADMINISTRACIÓN,22,1,0,0,1,0,2,6,0,0
ADMINISTRACIÓN,27,1,0,0,1,1,2,7,13.599,14.619
ADMINISTRACIÓN,22,0,0,0,1,0,0,6,15.364,16.2
ADMINISTRACIÓN,22,0,0,0,1,1,1,8,14.394,13.571
ADMINISTRACIÓN,23,0,0,0,1,0,0,4,15.965,16.591
ADMINISTRACIÓN,22,1,0,0,0,1,0,6,16.833,16.632
ADMINISTRACIÓN,19,0,0,0,0,0,0,5,14.637,11.5
ADMINISTRACIÓN,23,0,0,0,1,1,2,1,14.621,15
ADMINISTRACIÓN,21,1,0,0,0,1,1,5,14.62,14.429
ADMINISTRACIÓN,26,0,0,0,1,1,2,9,14.481,9.143
ADMINISTRACIÓN,21,0,0,0,1,1,2,5,13.56,14.762
ADMINISTRACIÓN,19,0,0,0,1,1,1,2,15.732,14.714
ADMINISTRACIÓN,26,1,0,0,1,0,0,2,15.699,16.091
ADMINISTRACIÓN,21,0,0,0,0,0,2,6,15.421,15.238
ADMINISTRACIÓN,22,0,0,0,1,0,2,9,15.401,16.238
ADMINISTRACIÓN,21,1,0,0,1,0,1,9,0,0
ADMINISTRACIÓN,20,0,0,0,1,0,2,9,15.06,15.476
ADMINISTRACIÓN,27,0,1,1,1,0,1,10,13.106,11.5
ADMINISTRACIÓN,22,1,0,0,0,0,0,8,14.479,11.214
ADMINISTRACIÓN,21,1,0,0,0,0,0,9,14.711,16.318
ADMINISTRACIÓN,25,1,0,0,1,1,2,7,12.786,8.933
ADMINISTRACIÓN,24,0,2,1,1,0,0,10,14.851,14.909
ADMINISTRACIÓN,24,0,0,0,1,1,0,7,16.218,17.05
ADMINISTRACIÓN,19,0,0,0,1,1,0,3,12.748,15.444
ADMINISTRACIÓN,24,0,0,0,1,1,2,10,15.459,15.227
ADMINISTRACIÓN,23,1,0,0,1,1,2,9,15.42,16.111
ADMINISTRACIÓN,18,1,0,0,1,1,1,1,17.26,17.158
ADMINISTRACIÓN,23,1,0,0,1,1,0,10,17.808,17.864
ADMINISTRACIÓN,21,0,0,0,1,1,0,8,15.119,15.909
ADMINISTRACIÓN,22,0,0,0,1,1,1,9,0,0
ADMINISTRACIÓN,21,1,0,0,0,0,0,9,15.956,16.6
ADMINISTRACIÓN,22,1,0,0,1,1,0,9,15.245,14.895
ADMINISTRACIÓN,20,1,0,0,1,1,0,5,15.058,15.833
ADMINISTRACIÓN,24,1,0,0,1,1,2,6,14.644,14.286
ADMINISTRACIÓN,24,0,0,0,1,1,0,11,16.091,15.381
ADMINISTRACIÓN,22,1,0,0,0,0,1,9,15.282,15.095
ADMINISTRACIÓN,28,0,0,0,1,1,2,10,14.417,14.136
ADMINISTRACIÓN,19,0,0,0,0,0,1,5,17.444,18.409
ADMINISTRACIÓN,24,1,0,0,1,0,2,8,14.538,14.636
ADMINISTRACIÓN,23,0,0,1,1,1,2,5,15.162,14.947
ADMINISTRACIÓN,18,0,0,0,0,0,2,5,10.27,13.6
ADMINISTRACIÓN,24,1,0,0,0,0,1,10,14.222,14.238
ADMINISTRACIÓN,21,0,0,0,1,0,1,10,14.493,14.357
ADMINISTRACIÓN,23,1,0,0,1,0,1,10,16.139,16.238
ADMINISTRACIÓN,24,1,0,0,1,1,2,10,14,15.619
ADMINISTRACIÓN,17,1,0,0,0,0,2,1,12.945,14.909
ADMINISTRACIÓN,19,0,0,0,0,0,2,5,14.059,13.368
ADMINISTRACIÓN,21,1,0,0,1,0,2,7,14.453,15
ADMINISTRACIÓN,27,1,0,0,1,1,2,10,15.012,15.318
ADMINISTRACIÓN,25,1,0,0,1,1,0,6,14.192,14.316
ADMINISTRACIÓN,26,0,0,0,1,1,2,9,17.336,17.182
ADMINISTRACIÓN,27,0,0,0,1,1,1,9,14.441,14
ADMINISTRACIÓN,21,0,0,0,1,0,1,2,15.583,15.4
ADMINISTRACIÓN,24,1,0,0,1,1,2,6,11.388,13.714
ADMINISTRACIÓN,21,1,2,0,0,0,1,8,16.034,15.684
ADMINISTRACIÓN,18,1,0,0,1,1,1,2,15.412,16.048
ADMINISTRACIÓN,25,1,0,0,1,0,1,8,15.429,15.095
ADMINISTRACIÓN,23,1,0,0,1,0,2,9,16.392,15.211
ADMINISTRACIÓN,21,0,0,0,1,0,2,5,15.388,16.045
ADMINISTRACIÓN,27,1,0,0,0,0,1,9,13.837,14.476
ADMINISTRACIÓN,21,1,0,0,1,0,2,7,13.036,11.857
ADMINISTRACIÓN,21,0,0,0,1,0,0,8,14.758,13.846
ADMINISTRACIÓN,22,0,0,0,1,1,1,10,14.986,15.421
ADMINISTRACIÓN,17,0,0,0,1,0,0,2,16.446,16.632
